
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.799
  alpha =    0.105    CLtot =    0.516
  beta  =    0.000

  Sref  =   256.39600
  Bref  =    44.84000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.255692         0.524886E-01
    0.0337  0.243225         0.482883E-01
    0.1010  0.218534         0.405134E-01
    0.1684  0.194512         0.335587E-01
    0.2357  0.171478         0.273963E-01
    0.3031  0.149700         0.219884E-01
    0.3704  0.129438         0.172884E-01
    0.4413  0.109797         0.130468E-01
    0.5158  0.904940E-01     0.931704E-02
    0.5903  0.721801E-01     0.628777E-02
    0.6648  0.550001E-01     0.391945E-02
    0.7393  0.391265E-01     0.216665E-02
    0.8138  0.247670E-01     0.976836E-03
    0.8883  0.122290E-01     0.287905E-03
    0.9628  0.215441E-02     0.200594E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.255692        -0.524886E-01
   -0.0337  0.243225        -0.482883E-01
   -0.1010  0.218534        -0.405134E-01
   -0.1684  0.194512        -0.335587E-01
   -0.2357  0.171478        -0.273963E-01
   -0.3031  0.149700        -0.219884E-01
   -0.3704  0.129438        -0.172884E-01
   -0.4413  0.109797        -0.130468E-01
   -0.5158  0.904940E-01    -0.931704E-02
   -0.5903  0.721801E-01    -0.628777E-02
   -0.6648  0.550001E-01    -0.391945E-02
   -0.7393  0.391265E-01    -0.216665E-02
   -0.8138  0.247670E-01    -0.976836E-03
   -0.8883  0.122290E-01    -0.287905E-03
   -0.9628  0.215441E-02    -0.200594E-04
   -1.0000   0.00000          0.00000    
