
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.852
  alpha =    7.641    CLtot =    1.409
  beta  =    0.000

  Sref  =   256.39600
  Bref  =    44.84000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.697648         0.147595    
    0.0337  0.666081         0.136114    
    0.1010  0.603315         0.114740    
    0.1684  0.541611         0.954620E-01
    0.2357  0.481585         0.782338E-01
    0.3031  0.423803         0.629892E-01
    0.3704  0.368824         0.496433E-01
    0.4413  0.314196         0.375335E-01
    0.5158  0.259743         0.268457E-01
    0.5903  0.207830         0.181387E-01
    0.6648  0.158808         0.113113E-01
    0.7393  0.113154         0.624687E-02
    0.8138  0.715306E-01     0.280772E-02
    0.8883  0.350530E-01     0.822949E-03
    0.9628  0.609328E-02     0.567338E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.697648        -0.147595    
   -0.0337  0.666081        -0.136114    
   -0.1010  0.603315        -0.114740    
   -0.1684  0.541611        -0.954620E-01
   -0.2357  0.481585        -0.782338E-01
   -0.3031  0.423803        -0.629892E-01
   -0.3704  0.368824        -0.496433E-01
   -0.4413  0.314196        -0.375335E-01
   -0.5158  0.259743        -0.268457E-01
   -0.5903  0.207830        -0.181387E-01
   -0.6648  0.158808        -0.113113E-01
   -0.7393  0.113154        -0.624687E-02
   -0.8138  0.715306E-01    -0.280772E-02
   -0.8883  0.350530E-01    -0.822949E-03
   -0.9628  0.609328E-02    -0.567338E-04
   -1.0000   0.00000          0.00000    
